video_id,creator_id,upload_date,category,duration_seconds,days_since_upload,view_count,like_count,comment_count,share_count,has_music,has_text_overlay,has_effects,has_voiceover,is_vertical,video_quality,trending_score,avg_watch_time_seconds,retention_rate,engagement_rate,hashtag_count,description_length,top_country,is_monetized,language
video_0000059,creator_04825,2025-04-24T04:04:18.015Z,Fitness,45,112,22849,994,146,166,true,true,false,false,true,1080p,0.421,20,0.444,0.057,6,139,TR,false,ru
video_0000060,creator_04539,2025-05-09T13:31:55.141Z,Travel,25,97,1706,51,23,5,true,true,true,false,true,1080p,0.067,12,0.48,0.046,3,76,US,true,bn
video_0000061,creator_02861,2025-06-14T23:25:04.727Z,Technology,60,60,1069,53,3,3,false,false,true,true,false,720p,0.379,28,0.467,0.055,5,208,BD,true,sv
video_0000062,creator_00089,2025-02-24T13:22:54.317Z,Science,40,171,65279,4407,541,112,true,false,false,false,true,1080p,0.907,19,0.475,0.078,5,225,TR,true,ko
video_0000063,creator_02328,2025-06-26T00:50:54.853Z,Technology,35,49,1006,61,21,4,false,true,true,true,true,1080p,0.723,19,0.543,0.085,3,72,JP,true,ja
video_0000064,creator_02750,2025-08-11T04:42:55.614Z,News,15,3,1001,49,15,4,true,true,false,true,true,1080p,0.187,5,0.333,0.068,4,144,DE,true,en
video_0000065,creator_02034,2025-03-26T16:18:13.486Z,Technology,20,141,50277,1176,687,379,true,true,true,true,true,1080p,0.505,6,0.3,0.045,4,74,ZA,false,it
video_0000066,creator_04530,2025-05-14T23:32:26.780Z,Music,45,91,1122,103,21,2,true,false,false,true,true,1080p,0.901,24,0.533,0.112,7,158,FR,true,de
video_0000067,creator_04132,2025-04-16T13:23:49.509Z,Beauty,25,120,1054,85,6,2,false,true,true,true,true,720p,0.673,9,0.36,0.088,9,132,TH,true,sv
video_0000068,creator_03066,2025-03-07T03:42:13.242Z,Motivation,40,160,1093,22,18,8,true,false,true,true,true,1080p,0.916,21,0.525,0.044,2,97,VN,true,ko
video_0000069,creator_04759,2025-05-13T17:29:38.392Z,Food,55,93,1387,95,19,8,false,true,true,false,true,1080p,0.071,43,0.782,0.088,9,226,US,false,bn
video_0000070,creator_02916,2025-04-19T00:08:27.745Z,Comedy,50,117,1010,76,11,5,true,false,false,false,true,720p,0.884,18,0.36,0.091,7,116,IN,false,vi
video_0000071,creator_00704,2025-02-24T10:27:58.050Z,Beauty,50,171,1989,132,12,5,true,true,true,true,true,1080p,0.101,26,0.52,0.075,5,96,TR,true,sv
video_0000072,creator_01405,2025-05-12T22:16:38.943Z,Art,55,93,2022,164,14,10,true,false,false,false,true,1080p,0.714,20,0.364,0.093,6,164,FR,true,pl
video_0000073,creator_04885,2025-07-15T23:15:03.445Z,Gaming,20,29,113441,8078,2436,121,true,false,true,false,true,1080p,0.467,9,0.45,0.094,2,209,DE,true,it
video_0000074,creator_00851,2025-05-21T07:36:59.388Z,Travel,50,85,47975,1896,1064,167,true,true,true,false,true,1080p,0.912,16,0.32,0.065,8,139,BR,false,nl
video_0000075,creator_01760,2025-02-22T07:48:35.294Z,Kids,60,173,1119,55,14,1,true,true,true,false,true,720p,0.713,41,0.683,0.063,9,110,KR,true,bn
video_0000076,creator_03617,2025-07-28T06:22:17.149Z,Fashion,40,17,1001,51,17,1,true,false,false,true,true,1080p,0.9,22,0.55,0.069,3,241,PH,true,es
video_0000077,creator_00056,2025-04-04T10:22:31.037Z,Lifestyle,30,132,6686,573,118,59,true,false,true,false,true,1080p,0.025,18,0.6,0.112,9,79,IT,true,zh
video_0000078,creator_02566,2025-03-02T04:48:55.589Z,Beauty,35,165,21219,1117,317,28,true,true,true,true,true,1080p,0.513,19,0.543,0.069,5,193,KR,true,fr
video_0000079,creator_04952,2025-07-05T15:48:49.452Z,Food,60,40,1021,66,11,4,true,false,true,false,true,720p,0.84,25,0.417,0.079,7,69,ZA,false,pl
video_0000080,creator_03484,2025-03-11T06:36:18.072Z,Beauty,30,156,1020,53,5,3,true,false,true,false,true,1080p,0.179,11,0.367,0.06,6,168,TH,true,zh
video_0000081,creator_04648,2025-03-30T23:47:02.913Z,Lifestyle,40,136,4259,315,38,38,true,false,false,false,true,1080p,0.186,16,0.4,0.092,2,98,US,true,sv
video_0000082,creator_02182,2025-03-23T23:52:35.062Z,Pets,20,143,4278,176,57,30,false,false,true,true,true,1080p,0.459,10,0.5,0.061,7,170,VN,true,th
video_0000083,creator_03749,2025-08-05T06:02:09.330Z,Beauty,30,9,10441,660,55,61,true,true,true,true,false,1080p,0.953,14,0.467,0.074,5,214,FR,true,zh
video_0000084,creator_02740,2025-07-21T02:56:39.629Z,Fashion,60,24,1001,54,11,4,true,true,true,true,true,1080p,0.262,45,0.75,0.069,7,231,ZA,true,it
video_0000085,creator_03400,2025-03-24T20:50:58.982Z,Beauty,25,143,1850,155,28,6,false,false,true,false,true,1080p,0.292,14,0.56,0.102,4,247,PK,true,vi
video_0000086,creator_00382,2025-02-19T06:24:50.294Z,Fashion,50,176,58315,5371,358,327,true,true,true,false,false,1080p,0.787,42,0.84,0.104,4,88,MX,false,it
video_0000087,creator_03045,2025-02-26T13:35:02.135Z,Gaming,55,169,11016,779,162,85,true,false,false,true,true,1080p,0.675,46,0.836,0.093,7,108,TH,true,sv
video_0000088,creator_01746,2025-07-24T11:43:03.567Z,Dance,35,21,1027,75,3,3,true,true,true,false,true,720p,0.44,28,0.8,0.079,7,185,JP,false,ru
video_0000089,creator_03861,2025-07-25T22:20:12.534Z,Gaming,50,19,3988,312,76,34,false,false,false,false,false,1080p,0.648,20,0.4,0.106,9,189,US,true,ar
video_0000090,creator_00264,2025-07-17T03:47:29.705Z,Pets,20,28,17664,1365,353,170,false,false,true,true,true,720p,0.887,8,0.4,0.107,4,128,US,true,hi
video_0000091,creator_02020,2025-04-17T07:11:50.275Z,Fashion,30,119,4046,178,81,11,true,false,true,true,true,1080p,0.817,19,0.633,0.067,4,150,KR,true,fr
video_0000092,creator_02092,2025-03-17T18:31:37.767Z,Food,40,150,1956,50,41,8,false,true,true,false,true,720p,0.469,25,0.625,0.051,7,66,US,false,it
video_0000093,creator_01992,2025-03-18T01:47:50.496Z,Science,40,149,7442,293,112,52,true,true,true,false,true,1080p,0.367,30,0.75,0.061,6,203,JP,true,en
video_0000094,creator_01656,2025-07-16T01:59:54.390Z,Dance,55,29,1005,37,17,5,false,false,false,false,true,1080p,0.149,44,0.8,0.059,3,222,TR,true,th
video_0000095,creator_01542,2025-05-19T03:11:30.764Z,Science,35,87,87305,5109,556,282,true,false,true,true,true,1080p,0.191,20,0.571,0.068,2,195,PH,true,nl
video_0000096,creator_01216,2025-04-03T01:52:41.966Z,Beauty,50,133,1510,42,21,2,false,true,true,true,true,1080p,0.984,27,0.54,0.043,8,204,NG,true,vi
video_0000097,creator_04324,2025-06-09T08:42:41.801Z,Pets,20,66,1044,60,22,11,true,true,true,false,true,1080p,0.078,9,0.45,0.089,6,77,BD,true,ar
video_0000098,creator_02526,2025-05-19T11:14:06.691Z,Food,25,87,1119,96,5,3,true,true,true,false,true,1080p,0.12,10,0.4,0.093,4,244,ID,true,de
video_0000099,creator_02880,2025-06-27T06:09:37.984Z,Gaming,45,48,1041,82,4,5,true,true,true,true,true,1080p,0.784,30,0.667,0.087,5,193,PK,true,id
video_0000100,creator_02471,2025-04-06T04:25:19.177Z,Gaming,35,130,162132,13206,2056,1482,false,true,false,true,true,1080p,0.097,23,0.657,0.103,3,103,IR,true,zh
video_0000101,creator_04863,2025-07-19T21:11:10.709Z,Beauty,30,26,1015,41,17,5,true,true,true,false,true,1080p,0.334,16,0.533,0.062,6,196,MX,true,de
video_0000102,creator_04090,2025-07-02T07:43:22.381Z,Fitness,40,43,11924,1110,49,79,true,false,true,false,true,720p,0.167,14,0.35,0.104,4,107,US,true,it
video_0000103,creator_04138,2025-06-28T18:51:53.928Z,Gaming,55,47,5500,488,72,43,true,false,false,false,true,1080p,0.995,32,0.582,0.11,5,129,IR,true,pt
video_0000104,creator_02124,2025-03-30T23:39:54.429Z,Lifestyle,50,136,1029,44,14,10,true,true,true,false,true,1080p,0.809,28,0.56,0.066,6,107,KR,true,vi
video_0000105,creator_01928,2025-02-16T15:02:32.856Z,Pets,55,179,1476,141,30,8,true,false,true,false,true,1080p,0.273,21,0.382,0.121,5,148,PK,false,ru
video_0000106,creator_00954,2025-02-16T07:18:42.797Z,Sports,50,179,2285,132,26,14,true,true,false,false,true,1080p,0.608,37,0.74,0.075,5,107,KR,true,zh
video_0000107,creator_04650,2025-03-22T21:23:09.466Z,Art,50,145,1472,54,17,5,true,true,false,false,true,1080p,0.939,33,0.66,0.052,2,152,KR,true,es
video_0000108,creator_02550,2025-04-09T05:32:41.229Z,Comedy,35,127,99420,5788,1381,203,true,true,false,true,true,720p,0.319,16,0.457,0.074,7,187,ID,false,bn
video_0000109,creator_02306,2025-04-07T11:45:37.162Z,News,35,129,1355,79,16,2,true,true,true,false,true,1080p,0.329,20,0.571,0.072,8,226,ZA,true,pt
video_0000110,creator_02402,2025-07-01T11:55:48.499Z,Pets,30,44,1001,49,15,7,true,false,true,true,false,1080p,0.469,21,0.7,0.071,9,181,KR,false,it
video_0000111,creator_01085,2025-03-31T19:06:06.670Z,Sports,60,136,71991,1796,361,448,true,true,true,true,true,1080p,0.473,40,0.667,0.036,2,95,BR,true,it
video_0000112,creator_00951,2025-03-09T09:07:42.845Z,Comedy,30,158,7140,294,113,15,true,true,true,true,true,720p,0.039,21,0.7,0.059,6,143,IT,true,zh
video_0000113,creator_03573,2025-07-16T03:20:12.401Z,Pets,35,29,1003,35,7,1,true,true,false,true,true,1080p,0.823,23,0.657,0.043,8,243,DE,true,ar
video_0000114,creator_01335,2025-04-22T05:20:46.737Z,Education,55,114,25850,1523,252,274,true,false,true,true,true,1080p,0.445,32,0.582,0.079,5,104,PH,true,fr
video_0000115,creator_01699,2025-05-10T04:08:50.249Z,Science,15,96,1451,101,14,4,true,true,true,true,true,720p,0.496,12,0.8,0.082,9,162,PK,true,zh
video_0000116,creator_03148,2025-05-28T02:26:55.417Z,Beauty,55,78,1104,43,11,9,true,false,true,true,true,1080p,0.813,35,0.636,0.057,6,161,FR,true,pt
video_0000117,creator_01784,2025-05-08T06:26:50.516Z,DIY,55,98,1128,27,11,4,true,true,true,false,true,1080p,0.728,20,0.364,0.037,8,157,BD,true,de
video_0000118,creator_00822,2025-02-28T13:16:51.039Z,Comedy,15,167,1018,35,12,1,true,false,false,false,true,720p,0.706,6,0.4,0.047,8,219,ZA,true,es
video_0000119,creator_04569,2025-02-22T10:31:18.071Z,Comedy,50,173,145877,3263,2013,838,true,true,true,true,true,720p,0.368,34,0.68,0.042,9,179,PK,true,bn
video_0000120,creator_04241,2025-03-19T09:38:26.386Z,Art,50,148,1989,97,37,16,true,true,true,false,true,1080p,0.577,33,0.66,0.075,8,127,FR,false,sv
video_0000121,creator_03792,2025-06-27T00:37:22.209Z,Lifestyle,20,48,1175,70,3,7,true,true,false,false,true,1080p,0.784,7,0.35,0.068,3,104,US,true,tr
video_0000122,creator_01216,2025-03-22T14:25:23.228Z,Fitness,45,145,1051,86,14,2,false,true,false,true,true,1080p,0.988,39,0.867,0.097,9,91,DE,true,pl
video_0000123,creator_01026,2025-05-01T05:20:45.711Z,Music,25,105,1032,80,17,4,true,false,true,false,true,1080p,0.037,18,0.72,0.098,5,207,GB,true,hi
video_0000124,creator_01008,2025-03-31T06:23:36.968Z,Beauty,35,136,3581,174,38,19,true,true,true,true,true,720p,0.507,31,0.886,0.065,2,62,ID,false,sv
video_0000125,creator_03969,2025-07-26T20:54:21.558Z,Science,25,19,1005,23,6,7,true,true,true,false,true,1080p,0.644,9,0.36,0.036,9,229,MX,true,sv
video_0000126,creator_01823,2025-02-23T02:49:43.565Z,Pets,15,172,1075,66,16,3,true,false,true,true,true,1080p,0.656,9,0.6,0.079,3,153,US,true,vi
video_0000127,creator_03276,2025-05-12T04:00:08.144Z,Beauty,50,94,1088,43,3,5,true,true,true,false,true,1080p,0.331,36,0.72,0.047,8,138,ZA,true,fr
video_0000128,creator_02388,2025-04-05T16:23:59.033Z,Gaming,55,131,1001,82,5,5,true,true,false,false,true,1080p,0.506,40,0.727,0.092,8,177,VN,true,bn
video_0000129,creator_00415,2025-02-21T23:16:38.608Z,Music,60,173,1610,160,33,16,true,false,true,false,false,1080p,0.635,43,0.717,0.13,9,204,KR,true,fr
video_0000130,creator_01232,2025-07-15T21:52:19.102Z,News,40,30,1008,27,11,3,true,false,false,false,true,1080p,0.715,27,0.675,0.041,5,134,PH,true,zh
video_0000131,creator_02794,2025-05-06T09:42:16.686Z,Lifestyle,25,100,79059,3442,709,382,true,true,true,true,true,720p,0.485,21,0.84,0.057,3,66,BR,true,ko
video_0000132,creator_00348,2025-07-20T13:45:45.347Z,Travel,60,25,1014,68,21,8,true,true,false,false,false,1080p,0.716,36,0.6,0.096,8,150,GB,true,ko
video_0000133,creator_02661,2025-06-17T13:42:10.662Z,Music,15,58,23389,2045,378,125,false,false,true,false,true,1080p,0.619,13,0.867,0.109,7,205,MX,true,bn
video_0000134,creator_00902,2025-05-15T12:16:03.298Z,Gaming,50,91,1005,66,22,7,true,true,false,false,true,1080p,0.609,26,0.52,0.095,6,105,MX,true,nl
video_0000135,creator_04711,2025-04-02T18:58:07.663Z,Beauty,25,134,61514,4769,611,144,true,false,false,true,true,1080p,0.306,19,0.76,0.09,5,92,PK,true,ja
video_0000136,creator_02017,2025-03-02T20:09:28.745Z,Dance,55,165,1023,41,21,1,true,true,true,true,false,1080p,0.538,31,0.564,0.062,3,98,TH,true,es
video_0000137,creator_00061,2025-07-24T07:36:12.227Z,Art,55,21,1624,101,16,9,true,false,false,true,true,1080p,0.251,27,0.491,0.078,9,118,TH,true,tr
video_0000138,creator_01314,2025-03-12T14:33:13.695Z,Pets,60,155,76649,3214,1212,106,true,true,false,false,true,720p,0.169,48,0.8,0.059,7,187,DE,false,de
video_0000139,creator_00642,2025-05-20T03:35:42.585Z,DIY,45,86,1052,77,5,3,true,true,false,false,true,720p,0.227,35,0.778,0.081,3,233,BD,true,bn
video_0000140,creator_02579,2025-02-27T16:09:47.816Z,DIY,40,168,18833,926,222,195,true,false,true,false,true,1080p,0.835,31,0.775,0.071,6,101,PH,true,en
video_0000141,creator_00159,2025-03-12T08:01:12.024Z,Motivation,55,155,98985,3829,2219,770,true,true,true,false,true,1080p,0.644,46,0.836,0.069,6,231,ZA,false,ru
video_0000142,creator_00912,2025-05-18T04:30:36.151Z,Travel,55,88,1896,188,21,12,true,true,true,true,true,1080p,0.311,18,0.327,0.117,8,185,PK,true,pt
video_0000143,creator_00315,2025-04-29T06:21:26.257Z,Art,40,107,1146,29,19,2,true,true,true,false,true,1080p,0.234,16,0.4,0.044,4,220,GB,true,id
video_0000144,creator_01553,2025-04-02T08:09:03.236Z,Comedy,25,134,1001,80,10,8,true,true,false,false,true,1080p,0.673,12,0.48,0.098,7,110,MX,true,ko
video_0000145,creator_00976,2025-05-27T17:05:50.920Z,News,25,79,1076,86,16,10,true,true,true,true,true,720p,0.568,13,0.52,0.104,4,211,BR,false,fr
video_0000146,creator_04264,2025-08-02T23:14:39.640Z,Education,30,11,1015,69,11,11,true,true,false,false,true,1080p,0.807,12,0.4,0.09,2,223,PH,true,id
video_0000147,creator_01967,2025-05-21T20:54:53.089Z,Education,45,85,38240,2967,600,44,true,true,true,false,true,720p,0.784,26,0.578,0.094,4,60,PK,true,th
video_0000148,creator_01317,2025-04-26T20:33:21.911Z,Motivation,55,110,1001,90,4,2,false,false,true,true,false,1080p,0.439,19,0.345,0.096,3,203,JP,true,ru
video_0000149,creator_01315,2025-02-20T08:19:49.317Z,Pets,15,175,1008,81,3,5,true,true,true,false,true,720p,0.168,12,0.8,0.088,3,167,PK,false,id
video_0000150,creator_02667,2025-03-26T09:24:08.001Z,Beauty,20,141,1242,96,8,1,true,false,true,false,true,1080p,0.142,8,0.4,0.085,7,122,ID,true,pl
video_0000151,creator_04527,2025-07-22T22:16:06.684Z,Art,60,22,31152,936,458,220,true,false,true,true,true,1080p,0.012,53,0.883,0.052,2,221,ZA,true,ja
video_0000152,creator_04994,2025-03-06T11:52:17.675Z,Dance,40,161,1025,45,3,6,true,true,false,false,true,1080p,0.201,30,0.75,0.053,2,76,GB,true,ko
video_0000153,creator_00622,2025-05-24T16:49:00.507Z,Education,35,82,1025,95,20,3,true,true,true,false,true,1080p,0.903,16,0.457,0.115,8,72,ZA,false,ja
video_0000154,creator_03768,2025-03-07T14:50:50.722Z,Fashion,30,160,19680,1191,131,183,true,true,true,false,true,720p,0.038,13,0.433,0.076,5,226,VN,true,pt
video_0000155,creator_00221,2025-06-26T01:58:51.165Z,News,35,49,34045,2943,321,284,true,false,true,true,false,1080p,0.924,31,0.886,0.104,8,146,JP,false,ko
video_0000156,creator_00939,2025-06-29T03:15:46.639Z,Sports,20,46,1050,95,21,10,true,true,true,true,true,1080p,0.24,9,0.45,0.12,9,181,PH,true,pl
video_0000157,creator_04574,2025-08-04T03:40:21.323Z,Kids,60,10,1050,95,22,5,true,true,true,false,true,1080p,0.146,23,0.383,0.116,3,229,BR,false,pt
video_0000158,creator_01157,2025-05-06T03:26:33.320Z,Comedy,50,100,1197,118,13,2,true,true,true,false,true,720p,0.715,38,0.76,0.111,8,243,IN,true,vi
video_0000159,creator_04819,2025-04-24T19:18:55.770Z,Dance,40,112,1022,45,9,6,true,true,true,false,true,1080p,0.014,31,0.775,0.059,4,57,US,true,zh
